#time,accel_x,accel_y,accel_z
846.740234,666.185348,222.061783,-9806.022374
846.740554,444.123565,296.082377,-9806.022374
846.740874,370.102971,444.123565,-9882.631924
846.741194,296.082377,74.020594,-10035.851024
846.741514,370.102971,370.102971,-10035.851024
846.741834,296.082377,296.082377,-9882.631924
846.742154,592.164754,296.082377,-11184.994271
846.742474,592.164754,74.020594,-9806.022374
846.742794,592.164754,148.041188,-10495.508323
846.743114,518.144159,370.102971,-10342.289223
846.743434,518.144159,370.102971,-9346.365076
846.743754,592.164754,444.123565,-10418.898773
846.744074,518.144159,296.082377,-10189.070123
846.744394,370.102971,444.123565,-9959.241474
846.744714,444.123565,148.041188,-10189.070123
846.745034,370.102971,-148.041188,-10112.460574
846.745354,814.226536,74.020594,-10265.679673
846.745674,888.247130,0.000000,-10112.460574
846.745994,740.205942,0.000000,-10189.070123
846.746314,148.041188,444.123565,-9576.193725
846.746634,148.041188,74.020594,-10112.460574
846.746954,740.205942,222.061783,-10112.460574
846.747274,592.164754,296.082377,-10265.679673
846.747594,148.041188,740.205942,-10418.898773
846.747914,814.226536,-148.041188,-10572.117872
846.748234,814.226536,222.061783,-9806.022374
846.748554,888.247130,222.061783,-10189.070123
846.748874,222.061783,74.020594,-9806.022374
846.749194,0.000000,0.000000,-9422.974625
846.749514,148.041188,74.020594,-9959.241474
846.749834,296.082377,-74.020594,-9882.631924
846.750154,-148.041188,-222.061783,-10189.070123
846.750474,-518.144159,-888.247130,-9806.022374
846.750794,-370.102971,-740.205942,-10265.679673
846.751114,74.020594,-518.144159,-9959.241474
846.751434,-444.123565,-296.082377,-9959.241474
846.751754,-518.144159,-518.144159,-9959.241474
846.752074,74.020594,0.000000,-9652.803275
846.752394,148.041188,-814.226536,-10112.460574
846.752714,-592.164754,-1258.350101,-10189.070123
846.753034,-962.267725,-1850.514855,-9882.631924
846.753354,-666.185348,-1480.411884,-10189.070123
846.753674,-296.082377,-1628.453072,-9499.584175
846.753994,-1110.308913,-1406.391290,-10112.460574
846.754314,-2072.576638,-1702.473667,-9959.241474
846.754634,-1776.494261,-2072.576638,-9806.022374
846.754954,-518.144159,-2146.597232,-9806.022374
846.755274,-444.123565,-1702.473667,-10035.851024
846.755594,-1406.391290,-1776.494261,-10265.679673
846.755914,-1480.411884,-1702.473667,-10035.851024
846.756234,-740.205942,-1628.453072,-9806.022374
846.756554,-370.102971,-814.226536,-10112.460574
846.756874,-1924.535449,-1480.411884,-10495.508323
846.757194,-3330.926739,-2220.617826,-10265.679673
846.757514,-3330.926739,-2960.823768,-9729.412825
846.757834,-2368.659014,-3256.906145,-9576.193725
846.758154,-1776.494261,-2812.782580,-9806.022374
846.758474,-2146.597232,-3108.864956,-9959.241474
846.758794,-2516.700203,-3478.967927,-9959.241474
846.759114,-1258.350101,-2960.823768,-9882.631924
846.759434,296.082377,-2072.576638,-10342.289223
846.759754,666.185348,-666.185348,-10265.679673
846.760074,-888.247130,-296.082377,-10572.117872
846.760394,-2738.761985,-444.123565,-10418.898773
846.760714,-3256.906145,-1332.370696,-10035.851024
846.761034,-4367.215058,-2738.761985,-10112.460574
846.761354,-5181.441594,-4071.132681,-9806.022374
846.761674,-5181.441594,-5107.421000,-9576.193725
846.761994,-2738.761985,-5255.462188,-9422.974625
846.762314,-666.185348,-4663.297435,-9806.022374
846.762634,888.247130,-2812.782580,-10035.851024
846.762954,1036.288319,-740.205942,-10418.898773
846.763274,2072.576638,592.164754,-10189.070123
846.763594,2812.782580,1776.494261,-10495.508323
846.763914,2368.659014,1036.288319,-10878.556072
846.764234,962.267725,-1036.288319,-10112.460574
846.764554,-1406.391290,-2442.679609,-10189.070123
846.764874,-3108.864956,-3034.844362,-8810.098227
846.765194,-4663.297435,-3256.906145,-9806.022374
846.765514,-5625.565159,-3701.029710,-9422.974625
846.765834,-4885.359217,-4515.256246,-9652.803275
846.766154,-2146.597232,-4885.359217,-9652.803275
846.766474,1036.288319,-4071.132681,-9959.241474
846.766794,2368.659014,-2146.597232,-10112.460574
846.767114,3404.947333,296.082377,-9882.631924
846.767434,3997.112087,2664.741391,-10418.898773
846.767754,4441.235652,2664.741391,-11184.994271
846.768074,1332.370696,3108.864956,-11031.775171
846.768394,-3034.844362,1110.308913,-10418.898773
846.768714,-5625.565159,-2368.659014,-9652.803275
846.769034,-5995.668130,-5181.441594,-9499.584175
846.769354,-4737.318029,-7550.100608,-9346.365076
846.769674,-4515.256246,-7179.997637,-9269.755526
846.769994,-3256.906145,-5625.565159,-9193.145976
846.770314,-740.205942,-1776.494261,-10112.460574
846.770634,1924.535449,1850.514855,-10418.898773
846.770954,2072.576638,4145.153275,-10648.727422
846.771274,1702.473667,4441.235652,-10572.117872
846.771594,1924.535449,2664.741391,-10495.508323
846.771914,1184.329507,592.164754,-10342.289223
